C,H,W,K,S,t,R,f,m
128,34,24,256,16,5358,3,2,7000
128,34,24,384,16,8027,3,2,8524
128,34,24,512,16,11109,3,2,10012
128,34,24,4,0,830,3,1,4576
128,34,24,8,0,924,3,1,4548
128,34,24,16,0,1000,3,1,4524
128,34,24,24,0,1031,3,1,4788
128,34,24,32,0,1130,3,1,4788
128,34,24,48,0,1569,3,1,5268
128,34,24,64,0,1720,3,1,5508
128,34,24,80,0,2091,3,1,5684
128,34,24,96,0,2370,3,1,5848
128,34,24,128,0,2816,3,1,6228
128,34,24,256,0,4852,3,1,7984
128,34,24,384,0,7262,3,1,9824
128,34,24,512,0,9360,3,1,11652
256,24,34,4,16,702,3,2,4500
256,24,34,8,16,328,3,2,4496
256,24,34,16,16,591,3,2,4748
256,24,34,24,16,882,3,2,4768
256,24,34,32,16,1336,3,2,5032
256,24,34,48,16,1891,3,2,5468
256,24,34,64,16,2445,3,2,5688
256,24,34,80,16,3023,3,2,5980
256,24,34,96,16,3728,3,2,6392
256,24,34,128,16,4795,3,2,7080
256,24,34,256,16,9618,3,2,9708
256,24,34,384,16,14975,3,2,12304
256,24,34,512,16,19688,3,2,15040
256,24,34,4,0,1363,3,1,5332
256,24,34,8,0,1341,3,1,5368
256,24,34,16,0,1403,3,1,5632
256,24,34,24,0,1635,3,1,5964
256,24,34,32,0,1828,3,1,5848
256,24,34,48,0,2554,3,1,6508
256,24,34,64,0,3090,3,1,6860
256,24,34,80,0,3596,3,1,7232
256,24,34,96,0,3851,3,1,7536
256,24,34,128,0,4949,3,1,8224
256,24,34,256,0,9022,3,1,11120
256,24,34,384,0,13293,3,1,14292
256,24,34,512,0,17812,3,1,17200
256,34,34,256,16,14045,3,2,10392
256,34,34,256,0,12794,3,1,12456
256,34,34,256,16,37494,3,2,10420
256,34,34,256,16,33798,3,2,10400
256,34,34,256,16,37582,3,2,10368
256,34,34,256,32,36620,3,2,10372
256,34,34,256,32,14536,3,2,10396
256,34,34,256,32,15620,3,2,10388
256,34,34,256,32,15509,3,2,10376
256,34,34,256,0,15095,3,1,12444
256,34,34,256,0,14050,3,1,12444
256,340,340,256,32,4615851,3,2,238012
256,340,340,256,0,1337222,3,1,467864
256,340,340,256,0,1325827,3,1,467900
