256,800,34,4,0,242834,3,7,30496
256,800,34,8,0,482817,3,7,31072
256,800,34,16,0,1350877,3,7,31828
256,800,34,24,0,2657855,3,7,32612
256,800,34,32,0,3085069,3,7,33660
256,800,34,48,0,4109574,3,7,35144
256,800,34,64,0,5504148,3,7,36992
256,800,34,80,0,6816132,3,7,38904
256,800,34,96,0,8137066,3,7,40580
256,800,34,128,0,10938987,3,7,44184
256,800,34,256,0,22598707,3,7,58020
256,800,34,384,0,33442022,3,7,71912
256,800,34,512,0,45082284,3,7,86052
256,800,34,4,0,417946,3,8,30476
256,800,34,8,0,832692,3,8,31148
256,800,34,16,0,1671098,3,8,31808
256,800,34,24,0,2534541,3,8,32508
256,800,34,32,0,3351013,3,8,33300
256,800,34,48,0,4971485,3,8,35368
256,800,34,64,0,6603899,3,8,36928
256,800,34,80,0,8235074,3,8,38836
256,800,34,96,0,9862445,3,8,40480
256,800,34,128,0,13203082,3,8,43880
256,800,34,256,0,26551276,3,8,57836
256,800,34,384,0,39676197,3,8,71704
256,800,34,512,0,53039525,3,8,85792
